DATAFLOW,MEASURE: Type of Visa,MIGRATIONTYPE: Migration Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,REPYEAREND: Reporting Year End Day
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2008,410,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2009,490,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2010,480,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2011,620,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2012,1380,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2013,1500,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2014,1460,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2015,1180,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2016,1040,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2017,980,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2018,890,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2019,880,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2020,480,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2021,10,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2022,220,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2005,2020,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2006,1410,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2007,1190,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2008,1140,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2009,1140,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2010,1020,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2011,1310,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2012,1440,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2013,1090,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2014,1290,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2015,1140,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2016,1190,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2017,1420,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2018,1880,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2019,1870,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2020,3170,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2021,2430,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2022,4900,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2005,10910,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2006,12080,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2007,13420,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2008,13950,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2009,13810,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2010,12000,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2011,10710,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2012,11640,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2013,10540,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2014,11490,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2015,10890,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2016,11310,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2017,12270,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2018,10460,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2019,10790,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2020,8870,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2021,4090,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2022,8190,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2005,13580,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2006,12320,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2007,12400,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2008,9470,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2009,11630,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2010,9920,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2011,9180,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2012,7700,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2013,8540,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2014,13170,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2015,11690,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2016,11080,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2017,24120,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2018,12190,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2019,15340,PSNS: Persons,,,30-6: Year Ending 30 June
