DATAFLOW,MEASURE: Type of Visa,MIGRATIONTYPE: Migration Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,REPYEAREND: Reporting Year End Day
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2020,1420,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2021,50,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2022,1140,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2012,47880,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2013,43460,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2014,32870,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2015,31490,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2016,30490,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2017,32690,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2018,26940,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2019,32600,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2020,22840,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2021,8950,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2022,22470,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2012,620,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2013,640,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2014,600,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2015,670,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2016,700,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2017,800,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2018,1120,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2019,1350,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2020,2190,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2021,120,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2022,800,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2012,1380,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2013,1500,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2014,1460,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2015,1180,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2016,1040,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2017,980,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2018,890,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2019,880,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2020,480,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2021,10,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2022,220,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2012,1440,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2013,1090,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2014,1290,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2015,1140,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2016,1190,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2017,1420,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2018,1880,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2019,1870,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2020,3170,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2021,2430,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),8: Temporary visa - Other temporary visas,1: NOM arrivals,3: Queensland,A: Annual,2022,4900,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2012,11640,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2013,10540,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2014,11490,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2015,10890,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2016,11310,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2017,12270,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2018,10460,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2019,10790,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2020,8870,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2021,4090,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),9: Permanent visa - Total,1: NOM arrivals,3: Queensland,A: Annual,2022,8190,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2012,7700,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2013,8540,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2014,13170,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2015,11690,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2016,11080,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2017,24120,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2018,12190,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2019,15340,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2020,13000,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2021,590,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),12: Permanent visa - Special Eligibility and humanitarian,1: NOM arrivals,AUS: Australia,A: Annual,2022,7340,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,2: Victoria,A: Annual,2012,19170,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,2: Victoria,A: Annual,2013,19130,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,2: Victoria,A: Annual,2014,18070,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,2: Victoria,A: Annual,2015,18060,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,2: Victoria,A: Annual,2016,18990,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,2: Victoria,A: Annual,2017,20110,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,2: Victoria,A: Annual,2018,19990,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,2: Victoria,A: Annual,2019,19840,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,2: Victoria,A: Annual,2020,23150,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,2: Victoria,A: Annual,2021,10360,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,2: Victoria,A: Annual,2022,15690,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,6: Tasmania,A: Annual,2012,850,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,6: Tasmania,A: Annual,2013,850,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,6: Tasmania,A: Annual,2014,930,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,6: Tasmania,A: Annual,2015,850,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,6: Tasmania,A: Annual,2016,810,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,6: Tasmania,A: Annual,2017,870,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,6: Tasmania,A: Annual,2018,880,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,6: Tasmania,A: Annual,2019,930,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,6: Tasmania,A: Annual,2020,1210,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,6: Tasmania,A: Annual,2021,480,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),14: Australian Citizen,1: NOM arrivals,6: Tasmania,A: Annual,2022,600,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),16: Total,1: NOM arrivals,6: Tasmania,A: Annual,2012,3780,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),16: Total,1: NOM arrivals,6: Tasmania,A: Annual,2013,3920,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),16: Total,1: NOM arrivals,6: Tasmania,A: Annual,2014,4190,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),16: Total,1: NOM arrivals,6: Tasmania,A: Annual,2015,4210,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),16: Total,1: NOM arrivals,6: Tasmania,A: Annual,2016,4210,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),16: Total,1: NOM arrivals,6: Tasmania,A: Annual,2017,4700,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),16: Total,1: NOM arrivals,6: Tasmania,A: Annual,2018,5110,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),16: Total,1: NOM arrivals,6: Tasmania,A: Annual,2019,5880,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),16: Total,1: NOM arrivals,6: Tasmania,A: Annual,2020,6510,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),16: Total,1: NOM arrivals,6: Tasmania,A: Annual,2021,1610,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),16: Total,1: NOM arrivals,6: Tasmania,A: Annual,2022,5150,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,6: Tasmania,A: Annual,2012,40,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,6: Tasmania,A: Annual,2013,30,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,6: Tasmania,A: Annual,2014,30,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,6: Tasmania,A: Annual,2015,30,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,6: Tasmania,A: Annual,2016,30,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,6: Tasmania,A: Annual,2017,40,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,6: Tasmania,A: Annual,2018,90,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,6: Tasmania,A: Annual,2019,110,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,6: Tasmania,A: Annual,2020,110,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,6: Tasmania,A: Annual,2021,10,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,6: Tasmania,A: Annual,2022,180,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),3: Temporary visa - Higher education sector,1: NOM arrivals,6: Tasmania,A: Annual,2012,640,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),3: Temporary visa - Higher education sector,1: NOM arrivals,6: Tasmania,A: Annual,2013,580,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),3: Temporary visa - Higher education sector,1: NOM arrivals,6: Tasmania,A: Annual,2014,740,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),3: Temporary visa - Higher education sector,1: NOM arrivals,6: Tasmania,A: Annual,2015,1120,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),3: Temporary visa - Higher education sector,1: NOM arrivals,6: Tasmania,A: Annual,2016,970,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),3: Temporary visa - Higher education sector,1: NOM arrivals,6: Tasmania,A: Annual,2017,1020,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),3: Temporary visa - Higher education sector,1: NOM arrivals,6: Tasmania,A: Annual,2018,1230,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),3: Temporary visa - Higher education sector,1: NOM arrivals,6: Tasmania,A: Annual,2019,1360,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),3: Temporary visa - Higher education sector,1: NOM arrivals,6: Tasmania,A: Annual,2020,830,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),3: Temporary visa - Higher education sector,1: NOM arrivals,6: Tasmania,A: Annual,2021,10,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),3: Temporary visa - Higher education sector,1: NOM arrivals,6: Tasmania,A: Annual,2022,920,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,3: Queensland,A: Annual,2012,11800,PSNS: Persons,,,30-6: Year Ending 30 June
